customer_id,total_transactions,total_amount,avg_transaction_amount
CUST1,19,1222367.39,64335.12578947368
CUST10,24,1485478.81,61894.95041666667
CUST100,17,1074992.31,63234.84176470589
CUST1000,17,905277.78,53251.63411764706
CUST1001,16,876602.89,54787.680625
CUST1002,21,1099295.43,52347.40142857142
CUST1003,23,1247845.0,54254.13043478261
CUST1004,15,747632.75,49842.183333333334
CUST1005,17,966089.2,56828.77647058823
CUST1006,16,800806.37,50050.398125
CUST1007,18,1055982.61,58665.70055555556
CUST1008,17,1114235.51,65543.26529411765
CUST1009,24,1034987.28,43124.47
CUST101,17,820347.54,48255.73764705883
CUST1010,18,828768.48,46042.69333333333
CUST1011,26,1585431.47,60978.13346153846
CUST1012,24,1043768.27,43490.34458333333
CUST1013,19,972433.35,51180.70263157895
CUST1014,15,769142.67,51276.178
CUST1015,17,752650.0599999999,44273.53294117647
CUST1016,13,716300.9299999999,55100.07153846153
CUST1017,22,1049502.05,47704.63863636364
CUST1018,18,947879.05,52659.947222222225
CUST1019,18,952241.85,52902.325
CUST102,27,1436947.42,53220.27481481481
CUST1020,14,703405.76,50243.26857142857
CUST1021,21,958269.85,45631.89761904762
CUST1022,24,1318371.4000000001,54932.14166666667
CUST1023,17,766224.72,45072.04235294118
CUST1024,25,1274494.73,50979.7892
CUST1025,21,1015209.43,48343.30619047619
CUST1026,17,852169.21,50127.60058823529
CUST1027,21,1149352.71,54731.08142857143
CUST1028,22,1145717.4,52078.06363636363
CUST1029,33,1831655.47,55504.71121212121
CUST103,19,1059043.78,55739.146315789476
CUST1030,14,765894.1,54706.72142857143
CUST1031,16,735676.1900000001,45979.761875000004
CUST1032,21,1368933.2,65187.295238095234
CUST1033,17,915685.62,53863.86
CUST1034,23,981742.02,42684.43565217392
CUST1035,26,1373570.88,52829.649230769224
CUST1036,25,1190241.58,47609.6632
CUST1037,14,626729.79,44766.41357142857
CUST1038,15,707380.65,47158.71
CUST1039,16,733118.93,45819.933125
CUST104,23,1102167.25,47920.315217391304
CUST1040,18,967245.98,53735.887777777774
CUST1041,17,676823.46,39813.144705882354
CUST1042,23,1179015.42,51261.53999999999
CUST1043,25,1225026.8,49001.072
CUST1044,24,1293368.84,53890.36833333334
CUST1045,17,978923.94,57583.76117647059
CUST1046,23,1116410.91,48539.604782608694
CUST1047,14,751703.78,53693.12714285714
CUST1048,22,1380270.36,62739.56181818182
CUST1049,17,958588.1900000001,56387.5405882353
CUST105,16,705765.95,44110.371875
CUST1050,24,1096469.16,45686.215
CUST1051,18,885728.53,49207.140555555554
CUST1052,19,1020326.67,53701.40368421053
CUST1053,17,741172.4,43598.376470588235
CUST1054,32,1705848.25,53307.7578125
CUST1055,23,1293481.96,56238.34608695652
CUST1056,24,1094362.8,45598.450000000004
CUST1057,27,1292182.93,47858.62703703703
CUST1058,14,709356.13,50668.295
CUST1059,12,595159.4,49596.61666666667
CUST106,16,848681.6,53042.6
CUST1060,16,753403.5,47087.71875
CUST1061,26,1347013.83,51808.224230769236
CUST1062,16,573776.97,35861.060625
CUST1063,24,1403283.1400000001,58470.130833333336
CUST1064,15,788683.49,52578.899333333335
CUST1065,23,1215145.38,52832.40782608695
CUST1066,22,1140686.2,51849.37272727273
CUST1067,18,774813.39,43045.18833333333
CUST1068,17,781716.83,45983.34294117647
CUST1069,21,1072426.46,51067.926666666666
CUST107,20,995704.81,49785.2405
CUST1070,18,859708.38,47761.57666666667
CUST1071,20,1080706.13,54035.30649999999
CUST1072,22,1065872.28,48448.74
CUST1073,21,929076.74,44241.74952380952
CUST1074,24,1221324.72,50888.53
CUST1075,20,1070290.98,53514.549
CUST1076,21,985480.8099999999,46927.65761904762
CUST1077,24,1429180.7,59549.19583333333
CUST1078,31,1492929.68,48159.02193548387
CUST1079,31,1680879.84,54221.93032258065
CUST108,34,1757337.9,51686.40882352941
