transaction_id,customer_id,merchant_id,amount,country,payment_method,timestamp
TXN1,CUST2478,MER292,84921.21,Singapore,UPI,2026-05-18 07:52:08.493477
TXN2,CUST2756,MER386,91930.25,Singapore,Credit Card,2026-06-04 11:49:20.360811
TXN3,CUST2223,MER299,83544.65,Singapore,Credit Card,2026-05-21 19:37:40.547495
TXN5,CUST4958,MER256,65376.58,USA,Credit Card,2026-05-20 08:29:00.125819
TXN7,CUST4214,MER20,80199.32,Germany,Debit Card,2026-06-16 03:01:52.145680
TXN8,CUST835,MER83,93233.34,Singapore,UPI,2026-06-02 05:39:23.114886
TXN13,CUST457,MER272,58978.11,Germany,UPI,2026-05-21 00:36:52.339410
TXN14,CUST3290,MER494,85380.53,Germany,Net Banking,2026-05-25 03:27:21.944635
TXN15,CUST4502,MER167,83315.81,Singapore,Credit Card,2026-06-14 02:11:52.304651
TXN16,CUST4382,MER182,75184.23,USA,Net Banking,2026-05-20 10:51:16.834190
TXN19,CUST2427,MER38,59944.76,Germany,Debit Card,2026-06-10 20:01:08.797970
TXN20,CUST2345,MER131,54779.1,USA,UPI,2026-05-25 12:59:29.860326
TXN22,CUST2194,MER377,93486.65,Germany,UPI,2026-05-22 08:57:57.955257
TXN24,CUST2948,MER60,93364.53,UK,UPI,2026-06-03 08:54:36.412925
TXN26,CUST2307,MER110,63725.6,Singapore,Debit Card,2026-05-30 22:52:40.292832
TXN27,CUST2062,MER294,59099.62,India,Debit Card,2026-05-20 00:26:43.710135
TXN31,CUST4474,MER370,97272.04,UK,UPI,2026-05-26 01:29:26.465284
TXN35,CUST4517,MER420,71061.52,India,Debit Card,2026-05-20 08:46:15.649754
TXN37,CUST2953,MER50,74152.32,USA,Net Banking,2026-06-07 06:24:37.390173
TXN40,CUST1801,MER400,92308.96,Germany,Credit Card,2026-06-11 12:16:19.715572
TXN41,CUST2655,MER311,81333.36,USA,UPI,2026-06-16 10:43:15.309204
